nohup: ignoring input
[17:59:58] === SVD (poison-only) — NO post-fit nudge ===
[18:00:02] Original users: 53,424
[18:00:02] Training baseline SVD on ORIGINAL...
[18:15:31] Scored 9,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:33] Scored 10,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:36] Scored 11,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:38] Scored 12,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:40] Scored 13,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:42] Scored 14,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:44] Scored 15,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:47] Scored 16,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:49] Scored 17,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:51] Scored 18,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:53] Scored 19,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:56] Scored 20,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:58] Scored 21,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:00] Scored 22,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:03] Scored 23,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:05] Scored 24,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:07] Scored 25,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:10] Scored 26,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:12] Scored 27,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:14] Scored 28,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:16] Scored 29,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:19] Scored 30,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:21] Scored 31,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:23] Scored 32,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:25] Scored 33,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:27] Scored 34,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:30] Scored 35,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:32] Scored 36,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:34] Scored 37,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:36] Scored 38,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:39] Scored 39,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:41] Scored 40,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:43] Scored 41,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:46] Scored 42,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:48] Scored 43,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:50] Scored 44,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:53] Scored 45,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:55] Scored 46,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:57] Scored 47,000/53,424 users for enhanced_Adult_100_avgonly...
[18:16:59] Scored 48,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:02] Scored 49,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:04] Scored 50,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:06] Scored 51,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:09] Scored 52,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:11] Scored 53,000/53,424 users for enhanced_Adult_100_avgonly...
[18:17:14] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_100_avgonly_15recommendation.csv (801360 rows)
[18:17:18] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_100_avgonly_25recommendation.csv (1335600 rows)
[18:17:24] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_100_avgonly_35recommendation.csv (1869840 rows)
[18:17:28] [3/53] enhanced_Adult_200_avgonly — loading & training...
[18:24:10] Scored 1,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:12] Scored 2,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:14] Scored 3,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:16] Scored 4,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:19] Scored 5,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:21] Scored 6,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:23] Scored 7,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:25] Scored 8,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:27] Scored 9,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:30] Scored 10,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:32] Scored 11,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:34] Scored 12,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:36] Scored 13,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:38] Scored 14,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:40] Scored 15,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:43] Scored 16,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:45] Scored 17,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:47] Scored 18,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:49] Scored 19,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:51] Scored 20,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:53] Scored 21,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:56] Scored 22,000/53,424 users for enhanced_Adult_200_avgonly...
[18:24:58] Scored 23,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:00] Scored 24,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:02] Scored 25,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:04] Scored 26,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:07] Scored 27,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:09] Scored 28,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:11] Scored 29,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:13] Scored 30,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:15] Scored 31,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:17] Scored 32,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:20] Scored 33,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:22] Scored 34,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:24] Scored 35,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:26] Scored 36,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:28] Scored 37,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:30] Scored 38,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:32] Scored 39,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:35] Scored 40,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:37] Scored 41,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:39] Scored 42,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:41] Scored 43,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:43] Scored 44,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:45] Scored 45,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:48] Scored 46,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:50] Scored 47,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:52] Scored 48,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:54] Scored 49,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:56] Scored 50,000/53,424 users for enhanced_Adult_200_avgonly...
[18:25:58] Scored 51,000/53,424 users for enhanced_Adult_200_avgonly...
[18:26:01] Scored 52,000/53,424 users for enhanced_Adult_200_avgonly...
[18:26:03] Scored 53,000/53,424 users for enhanced_Adult_200_avgonly...
[18:26:06] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_200_avgonly_15recommendation.csv (801360 rows)
[18:26:10] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_200_avgonly_25recommendation.csv (1335600 rows)
[18:26:16] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_200_avgonly_35recommendation.csv (1869840 rows)
[18:26:19] [4/53] enhanced_Adult_25_avgonly — loading & training...
[18:33:07] Scored 1,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:09] Scored 2,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:11] Scored 3,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:13] Scored 4,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:16] Scored 5,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:18] Scored 6,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:20] Scored 7,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:22] Scored 8,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:24] Scored 9,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:27] Scored 10,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:29] Scored 11,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:31] Scored 12,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:33] Scored 13,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:36] Scored 14,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:38] Scored 15,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:40] Scored 16,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:42] Scored 17,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:45] Scored 18,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:47] Scored 19,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:49] Scored 20,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:51] Scored 21,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:54] Scored 22,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:56] Scored 23,000/53,424 users for enhanced_Adult_25_avgonly...
[18:33:58] Scored 24,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:00] Scored 25,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:03] Scored 26,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:05] Scored 27,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:07] Scored 28,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:09] Scored 29,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:11] Scored 30,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:14] Scored 31,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:16] Scored 32,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:18] Scored 33,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:20] Scored 34,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:23] Scored 35,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:25] Scored 36,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:27] Scored 37,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:29] Scored 38,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:32] Scored 39,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:34] Scored 40,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:36] Scored 41,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:38] Scored 42,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:41] Scored 43,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:43] Scored 44,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:45] Scored 45,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:47] Scored 46,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:50] Scored 47,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:52] Scored 48,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:54] Scored 49,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:56] Scored 50,000/53,424 users for enhanced_Adult_25_avgonly...
[18:34:58] Scored 51,000/53,424 users for enhanced_Adult_25_avgonly...
[18:35:01] Scored 52,000/53,424 users for enhanced_Adult_25_avgonly...
[18:35:03] Scored 53,000/53,424 users for enhanced_Adult_25_avgonly...
[18:35:06] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_25_avgonly_15recommendation.csv (801360 rows)
[18:35:10] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_25_avgonly_25recommendation.csv (1335600 rows)
[18:35:16] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_25_avgonly_35recommendation.csv (1869840 rows)
[18:35:20] [5/53] enhanced_Adult_50_avgonly — loading & training...
[18:41:58] Scored 1,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:00] Scored 2,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:03] Scored 3,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:05] Scored 4,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:07] Scored 5,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:09] Scored 6,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:12] Scored 7,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:14] Scored 8,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:16] Scored 9,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:18] Scored 10,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:20] Scored 11,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:23] Scored 12,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:25] Scored 13,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:27] Scored 14,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:29] Scored 15,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:31] Scored 16,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:34] Scored 17,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:36] Scored 18,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:38] Scored 19,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:40] Scored 20,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:43] Scored 21,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:45] Scored 22,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:47] Scored 23,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:49] Scored 24,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:52] Scored 25,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:54] Scored 26,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:56] Scored 27,000/53,424 users for enhanced_Adult_50_avgonly...
[18:42:58] Scored 28,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:00] Scored 29,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:03] Scored 30,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:05] Scored 31,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:07] Scored 32,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:09] Scored 33,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:12] Scored 34,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:14] Scored 35,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:16] Scored 36,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:18] Scored 37,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:21] Scored 38,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:23] Scored 39,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:25] Scored 40,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:27] Scored 41,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:30] Scored 42,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:32] Scored 43,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:34] Scored 44,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:36] Scored 45,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:38] Scored 46,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:41] Scored 47,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:43] Scored 48,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:45] Scored 49,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:47] Scored 50,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:49] Scored 51,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:52] Scored 52,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:54] Scored 53,000/53,424 users for enhanced_Adult_50_avgonly...
[18:43:57] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_50_avgonly_15recommendation.csv (801360 rows)
[18:44:01] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_50_avgonly_25recommendation.csv (1335600 rows)
[18:44:07] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adult_50_avgonly_35recommendation.csv (1869840 rows)
[18:44:10] [6/53] enhanced_Adventure_100_avgonly — loading & training...
[18:50:57] Scored 1,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:00] Scored 2,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:02] Scored 3,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:04] Scored 4,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:06] Scored 5,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:09] Scored 6,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:11] Scored 7,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:13] Scored 8,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:16] Scored 9,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:18] Scored 10,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:20] Scored 11,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:22] Scored 12,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:25] Scored 13,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:27] Scored 14,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:29] Scored 15,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:31] Scored 16,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:34] Scored 17,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:36] Scored 18,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:38] Scored 19,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:41] Scored 20,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:43] Scored 21,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:45] Scored 22,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:48] Scored 23,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:50] Scored 24,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:52] Scored 25,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:54] Scored 26,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:57] Scored 27,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:51:59] Scored 28,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:01] Scored 29,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:04] Scored 30,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:06] Scored 31,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:08] Scored 32,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:10] Scored 33,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:13] Scored 34,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:15] Scored 35,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:17] Scored 36,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:19] Scored 37,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:22] Scored 38,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:24] Scored 39,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:26] Scored 40,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:29] Scored 41,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:31] Scored 42,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:34] Scored 43,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:36] Scored 44,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:38] Scored 45,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:40] Scored 46,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:43] Scored 47,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:45] Scored 48,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:47] Scored 49,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:50] Scored 50,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:52] Scored 51,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:54] Scored 52,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:52:56] Scored 53,000/53,424 users for enhanced_Adventure_100_avgonly...
[18:53:00] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adventure_100_avgonly_15recommendation.csv (801360 rows)
[18:53:04] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adventure_100_avgonly_25recommendation.csv (1335600 rows)
[18:53:09] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/enhanced_Adventure_100_avgonly_35recommendation.csv (1869840 rows)
[18:53:13] [7/53] enhanced_Adventure_200_avgonly — loading & training...
[18:59:50] Scored 1,000/53,424 users for enhanced_Adventure_200_avgonly...
[18:59:52] Scored 2,000/53,424 users for enhanced_Adventure_200_avgonly...
[18:59:55] Scored 3,000/53,424 users for enhanced_Adventure_200_avgonly...
[18:59:57] Scored 4,000/53,424 users for enhanced_Adventure_200_avgonly...
[18:59:59] Scored 5,000/53,424 users for enhanced_Adventure_200_avgonly...
[19:00:01] Scored 6,000/53,424 users for enhanced_Adventure_200_avgonly...
[19:00:04] Scored 7,000/53,424 users for enhanced_Adventure_200_avgonly...
